Список заявок на 02:26 28.11.23;;;;;;;;;;;;;;;;;;;;
12386;6413;Карельское РДУ;РЗА.ПА;;Открытая;ПС 330 кВ Петрозаводск;АОПН и УРОВ АОПН ВЛ 330 кВ Петрозаводск – Тихвин-Литейный;;с отключением;Б;;09:00 27.11.23;24:00 28.11.23;09:00 27.11.23;ВП;НПЛ;;02:00;;без отключения ЛЭП (оборудования)
12400;6384;Новгородское РДУ;ЭЛТ.В.В 330 кВ;;Разрешенная;ПС 330 кВ Псков;В 412 АТ-1;;с отключением;Б от 27.11.23;;09:00 27.11.23;24:00 28.11.23;09:00 27.11.23;ВПр;НПЛ;;02:00;;без разборки токовых цепей
12440;20179;Ленинградское РДУ;СДТУ.СДТУ Н;;Разрешенная;ПС 330 кВ Гатчинская;СДТУ направления Ленинградское РДУ – ПС 330 кВ Гатчинская;;с отключением;П 2023-АСУ-ТО-Г;;09:00 27.11.23;16:00 01.12.23;09:00 27.11.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12462;4781;Коми РДУ;АСДУ.ПАК;;Разрешенная;Вологодское РДУ;CK11.Proxy;;без отключения;Пусто;;09:00 27.11.23;17:00 27.11.23;09:00 27.11.23;ОПО;НПЛ;;00:20;; 
12529;4320;Балтийское РДУ;ЭЛТ.В.В 330 кВ;;Открытая;ПС 330 кВ Северная 330;В1 ВЛ 414;;с отключением;Б;;09:00 27.11.23;18:00 28.11.23;09:00 27.11.23;ВПр;НПЛ;;00:30;; 
12214;6385;Карельское РДУ;СДТУ.СДТУ Н;;Открытая;Кондопожская ГЭС (ГЭС-1);СДТУ направления Карельское РДУ – Кондопожская ГЭС (ГЭС-1);;с отключением;Пусто;;08:00 27.11.23;17:00 28.11.23;08:00 27.11.23;Н;НПЛ;;03:00;;с включением на ночь
12408;20265;Ленинградское РДУ;РЗА.ПА;;Открытая;ПС 330 кВ Сясь;Комплект ПА №1 ВЛ 330 кВ Сясь – Петрозаводск (ФОЛ, АЛАР, АОПН, УРОВ АОПН) ;;с отключением;Б;;08:00 27.11.23;24:00 28.11.23;08:00 27.11.23;ВП;НПЛ;;04:00;;без отключения ЛЭП (оборудования)
12415;6526;Карельское РДУ;АСДУ.ПАК;;Открытая;Карельское РДУ;ПАК «MODES-Terminal»;;с отключением;Пусто;;08:00 27.11.23;12:00 28.11.23;08:00 27.11.23;ОПО;НПЛ;;ВЗ;; 
12422;21539;МЭС Северо-Запада;ЭЛТ.В.В 330 кВ;;Открытая;ПС 400 кВ Выборгская;В330 кВ АТ-3;;с отключением;Б;;08:00 27.11.23;24:00 29.11.23;08:00 27.11.23;ВПр;НПЛ;;04:00;;с отключением токовых цепей
12423;21541;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 400 кВ Выборгская;ДЗОШ 330 кВ 1 к-т АТ-3;;с отключением;Б;;08:00 27.11.23;24:00 29.11.23;08:00 27.11.23;ВПр;НПЛ;;04:00;; 
12424;21540;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 400 кВ Выборгская;ДЗОШ 330 кВ 2 к-т АТ-3;;с отключением;Б;;08:00 27.11.23;24:00 29.11.23;08:00 27.11.23;ВПр;НПЛ;;04:00;; 
12439;20847;Ленинградское РДУ;СДТУ.СДТУ Н;;Разрешенная;ПС 750 кВ Копорская;СДТУ направления Ленинградское РДУ – ПС 750 кВ Копорская;;без отключения;Пусто;;08:00 27.11.23;24:00 01.12.23;08:00 27.11.23;ОПО;НПЛ;;00:30;;без отключения ЛЭП (оборудования)
12516;21169;ОДУ Центра;ЭЛТ.АТ,Т.АТ,Т 750 кВ;;Открытая;ПС 750 кВ Белозерская;АТ-1;;с отключением;Б;да;08:00 27.11.23;24:00 07.12.23;08:00 27.11.23;ТР;ПЛ;;24:00;; 
12583;411105;Augstsprieguma tikls;ЛЭП.ЛЭП 330 кВ;;Открытая;Augstsprieguma tikls;ВЛ 330 кВ Броцени – Вискали (ВЛ 322);;с отключением;П;да;07:00 27.11.23;16:00 08.12.23;07:00 27.11.23;ТР;НПЛ;;04:00;Да; 
12072;19991;МЭС Северо-Запада;РЗА.РЗ;;Разрешенная;ПС 750 кВ Ленинградская;КСЗ 1 комплект ВЛ 330 кВ Ленинградская – Чудово (ДЗ, ТЗНП, ЗНР) (7SA52);;с отключением;Б;;06:00 27.11.23;24:00 28.11.23;06:00 27.11.23;ВП;ПЛ;;02:00;;без отключения ЛЭП (оборудования)
12515;21206;ОДУ Центра;ЛЭП.ЛЭП 750 кВ;;Открытая;Калининская АЭС;ВЛ 750 кВ Калининская АЭС – Белозерская;;с отключением;ТП № 15, 16 от 14.09.23;да;06:00 27.11.23;17:00 07.12.23;06:00 27.11.23;ТР;ПЛ;;02:00;Да;под наведенным напряжением
12518;21027;ОДУ Центра;ЛЭП.ЛЭП 750 кВ;;Открытая;Валдайское ПМЭС;ВЛ 750 кВ Калининская АЭС – Белозерская;;с отключением;ТП № 15, 16 от 14.09.23;да;06:00 27.11.23;19:00 07.12.23;06:00 27.11.23;ТР;ПЛ;;03:00;Да;под наведенным напряжением
12436;4280;Балтийское РДУ;ЭНРГ.Б;;Открытая;Прегольская ТЭС;Блок 1;;с отключением;Пусто;;00:01 27.11.23;23:59 04.12.23;00:01 27.11.23;ТР;ПЛ;;ВЗ;; 
12627;370;Северо-Западная ТЭЦ;ЭНРГ.Б;;Открытая;Северо-Западная ТЭЦ;Блок 1;Г-2 (ГТУ-12) Блок 1;без отключения;Пусто;;00:01 27.11.23;24:00 30.11.23;00:01 27.11.23;ХР;НПЛ;;02:00;; 
12633;1146;Киришская ГРЭС;ЭНРГ.Б;;Открытая;Киришская ГРЭС;Блок 1;;с отключением;Пусто;;00:01 27.11.23;24:00 25.12.23;00:01 27.11.23;ХР;НПЛ;;ВЗ;; 
12431;21586;МЭС Северо-Запада;ЭЛТ.В.В 110 кВ;;Открытая;ПС 330 кВ Менделеевская;В-4-110 АТ-2;;с отключением;Б;;00:00 27.11.23;24:00 01.12.23;00:00 27.11.23;ВПр;НПЛ;;01:00;; 
12636;6843;Кольское РДУ;СДТУ.СДТУ Н;;Открытая;Кольская ВЭС;СДТУ направления Кольское РДУ – Кольская ВЭС;;с отключением;Пусто;;20:01 26.11.23;23:59 28.11.23;20:01 26.11.23;ВП;НО;;ВЗ;;без отключения ЛЭП (оборудования)
12466;21629;МЭС Северо-Запада;ЭЛТ.АТ,Т.АТ,Т 400 кВ;;Открытая;ПС 400 кВ Выборгская;АТ-3;;с отключением;Б;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;ВПр;НПЛ;;04:00;; 
12467;21625;МЭС Северо-Запада;ЭЛТ.В.В 330 кВ;;Открытая;ПС 400 кВ Выборгская;ВЛ-473;;с отключением;Б;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;ВПр;НПЛ;;ВЗ;;с отключением токовых цепей
12468;21626;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 400 кВ Выборгская;УРОВ ВЛ-473;;с отключением;Б;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;ВПр;НПЛ;;ВЗ;; 
12469;21627;МЭС Северо-Запада;ЭЛТ.В.В 330 кВ;;Открытая;ПС 400 кВ Выборгская;ВЛ-473/АТ-3;;с отключением;Б;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;ВПр;НПЛ;;ВЗ;;с отключением токовых цепей
12470;21628;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 400 кВ Выборгская;УРОВ ВЛ-473/АТ-3;;с отключением;Б;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;ВПр;НПЛ;;ВЗ;; 
12471;21674;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 400 кВ Выборгская;ВЧЗ ВЛ 330 кВ Северо-Западная ТЭЦ – Выборгская (ПДЭ 2802);;с отключением;ТП ОДУ Северо-Запада №60.1.РЗ от 28.02.2017;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;РЕК;НПЛ;;ВЗ;; 
12472;21672;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 400 кВ Выборгская;КСЗ ВЛ 330 кВ Северо-Западная ТЭЦ – Выборгская (ДЗ, ТЗНП, МТО) (ШДЭ 2801);;с отключением;Б;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;ВПр;НПЛ;;ВЗ;; 
12473;21673;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 400 кВ Выборгская;Подменная панель КСЗ ВЛ 330 кВ Северо-Западная ТЭЦ – Выборгская (ДЗ, ТЗНП, МТО) (ШДЭ 2801);;с отключением;Б;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;ВПр;НПЛ;;ВЗ;; 
12477;21678;МЭС Северо-Запада;РЗА.ПА;;Открытая;ПС 400 кВ Выборгская;АЛАР ВЛ 330 кВ Северо-Западная ТЭЦ – Выборгская;;с отключением;П;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;РЕК;НПЛ;;04:00;; 
12519;20920;Ленинградское РДУ;РЗА.ПА;;Открытая;ПС 400 кВ Выборгская;ФОЛ ВЛ 330 кВ Северо-Западная ТЭЦ – Выборгская;;с отключением;П;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;РЕК;НПЛ;;04:00;; 
12521;20921;Ленинградское РДУ;РЗА.ПА;;Открытая;ПС 400 кВ Выборгская;АОПН 330 кВ;;с отключением;Б;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;РЕК;ПЛ;;04:00;; 
12562;20917;Ленинградское РДУ;ЛЭП.ЛЭП 330 кВ;;Открытая;ПС 400 кВ Выборгская;ВЛ 330 кВ Северо-Западная ТЭЦ – Выборгская;;с отключением;КП ввод по КПП №04/2023 ;да;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;ВПр;ПЛ;;ВЗ;;под наведенным напряжением
12563;20918;Ленинградское РДУ;РЗА.ПА.УПАСК;;Открытая;ПС 400 кВ Выборгская;ПРД АКПА 244 кГц ВЛ 330 кВ Северо-Западная ТЭЦ – Выборгская;;с отключением;ТП  ОДУ Северо-Запада №118.1.ПА от 28.02.2017 / №118.2.ПА от 28.02.2017;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;РЕК;ПЛ;;04:00;; 
12564;20919;Ленинградское РДУ;РЗА.ПА.УПАСК;;Открытая;ПС 400 кВ Выборгская;ПРМ АКПА 296 кГц ВЛ 330 кВ Северо-Западная ТЭЦ – Выборгская;;с отключением;ТП  ОДУ Северо-Запада №119.1.ПА от 28.02.2017 / №119.2.ПА от 28.02.2017;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;РЕК;ПЛ;;04:00;; 
12565;21809;МЭС Северо-Запада;ЭЛТ.В.В 330 кВ;;Открытая;ПС 400 кВ Выборгская;ВТВ-2;;с отключением;Б;;00:00 26.11.23;24:00 29.11.23;00:00 26.11.23;ВПр;НПЛ;;02:00;;с отключением токовых цепей
12566;21807;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 400 кВ Выборгская;Комплект резервных защит стороны ВН АТ-2 (ТЗНП, МТЗ);;с отключением;Б;;00:00 26.11.23;24:00 29.11.23;00:00 26.11.23;ВПр;НПЛ;;02:00;; 
12576;21864;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 400 кВ Выборгская;ДЗШТ 2ш 330 кВ;;с отключением;Б;;00:00 26.11.23;24:00 29.11.23;00:00 26.11.23;ВПр;НПЛ;;02:00;; 
12582;21056;Ленинградское РДУ;ЭЛТ.СШ.СШ 330 кВ;;Открытая;ПС 400 кВ Выборгская;2ш 330 кВ;;с отключением;Б;;00:00 26.11.23;24:00 29.11.23;00:00 26.11.23;ВПр;НПЛ;;02:00;; 
12600;21089;Ленинградское РДУ;РЗА.ПА.УПАСК;;Открытая;Северо-Западная ТЭЦ;ПРМ АКПА 244 кГц ВЛ 330 кВ Северо-Западная ТЭЦ – Выборгская;;с отключением;Пусто типовая программа переключений ОДУ Северо-Запада №118.1.ПА от 28.02.2017 / №118.2.ПА от 28.02.2017;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;ВПр;НПЛ;;00:30;; 
12601;21090;Ленинградское РДУ;РЗА.ПА.УПАСК;;Открытая;Северо-Западная ТЭЦ;ПРД АКПА 296 кГц ВЛ 330 кВ Северо-Западная ТЭЦ – Выборгская;;с отключением;Пусто типовая программа переключений ОДУ Северо-Запада №119.1.ПА от 28.02.2017 / №119.2.ПА от 28.02.2017;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;ВПр;НПЛ;;00:30;; 
12605;21925;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 400 кВ Выборгская;ДЗШ 2ш 330 кВ;;с отключением;Б;;00:00 26.11.23;24:00 29.11.23;00:00 26.11.23;ВПр;НПЛ;;02:00;; 
12623;369;Северо-Западная ТЭЦ;РЗА.РЗ;;Рассмотренная;Северо-Западная ТЭЦ;ВЧЗ ВЛ 330 кВ Северо-Западная ТЭЦ – Выборгская (ПДЭ 2802);;с отключением;ТП  ОДУ Северо-Запада №60.1.РЗ от 28.02.2017/60.2.РЗ от 28.02.2017;;00:00 26.11.23;24:00 30.11.23;00:00 26.11.23;ВПр;НПЛ;;00:30;; 
12662;21059;Ленинградское РДУ;ЭЛТ.АТ,Т.АТ,Т 330 кВ;;Открытая;ПС 400 кВ Выборгская;АТ-2;;с отключением;Б;;00:00 26.11.23;24:00 29.11.23;00:00 26.11.23;ВПр;ПЛ;;02:00;; 
12494;1126;Киришская ГРЭС;РЗА.ПА.УПАСК;;Рассмотренная;Киришская ГРЭС;ПРМ 2 ВЧТО 52 кГц КВЛ 330 кВ Киришская ГРЭС – Восточная I цепь;;с отключением;ТП ОДУ Северо-Запада №127.1.ПА от 28.02.2017 / №127.2.ПА от 28.02.2017;;00:01 25.11.23;24:00 29.12.23;00:01 25.11.23;ВПр;АВ;;ВЗ;;без отключения ЛЭП (оборудования)
12456;6743;Кольское РДУ;ЭНРГ.ГГ;;Открытая;Верхне-Туломская ГЭС-12;ГГ-2;;с отключением;Пусто;;00:00 25.11.23;24:00 28.11.23;00:00 25.11.23;ИСП;НПЛ;;ВЗ;; 
12541;6600;Карельское РДУ;РЗА.ПА;;Открытая;РП 330 кВ Каменный Бор;ЛАДВ 2 комплект РП 330 кВ Каменный Бор ;;без отключения;Пусто;;00:00 25.11.23;24:00 30.11.23;00:00 25.11.23;ЗРР;НО;;ВЗ;; 
12581;1138;Киришская ГРЭС;ЭНРГ.Б;;Открытая;Киришская ГРЭС;Блок 1;;без отключения;Пусто;;00:00 25.11.23;24:00 03.12.23;00:00 25.11.23;ЗРР;АВ;;ВЗ;; 
12589;21896;МЭС Северо-Запада;РЗА.ПА.УПАСК;;Открытая;ПС 330 кВ Восточная;ПРД 2 ВЧТО 52 кГц КВЛ 330 кВ Киришская ГРЭС – Восточная I цепь;;с отключением;ТП  ОДУ Северо-Запада №127.1.ПА от 28.02.2017 / №127.2.ПА от 28.02.2017;;00:00 25.11.23;24:00 06.12.23;00:00 25.11.23;ПП;АВ;;ВЗ;;без отключения ЛЭП (оборудования)
12597;6532;Новгородское РДУ;СДТУ.СДТУ Н;;Открытая;ПС 330 кВ Старорусская;СДТУ направления Новгородское РДУ – ПС 330 кВ Старорусская;;с отключением;Пусто;;00:00 25.11.23;24:00 08.12.23;00:00 25.11.23;К;НПЛ;;01:00;;без отключения ЛЭП (оборудования)
12542;20990;Ленинградское РДУ;СДТУ.СДТУ Н;;Открытая;ПС 330 кВ Колпино;СДТУ направления Ленинградское РДУ – ПС 330 кВ Колпино;;с отключением;П 2023-АСУ-2;;16:00 24.11.23;16:00 01.12.23;16:00 24.11.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12556;21023;Ленинградское РДУ;СДТУ.СДТУ Н;;Открытая;ПС 330 кВ Ржевская;СДТУ направления Ленинградское РДУ – ПС 330 кВ Ржевская;;с отключением;П;;16:00 24.11.23;16:00 01.12.23;16:00 24.11.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12586;21049;Ленинградское РДУ;СДТУ.СДТУ Н;;Открытая;ПС 330 кВ Завод Ильич;СДТУ направления Ленинградское РДУ – ПС 330 кВ Завод Ильич;;с отключением;П 2023-АСУ-ТО-2;;16:00 24.11.23;16:00 01.12.23;16:00 24.11.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12587;21053;Ленинградское РДУ;СДТУ.СДТУ Н;;Открытая;ПС 330 кВ Пулковская;СДТУ направления Ленинградское РДУ – ПС 330 кВ Пулковская;;с отключением;П 2023-АСУ-ТО-2;;16:00 24.11.23;16:00 01.12.23;16:00 24.11.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12646;21092;Ленинградское РДУ;СДТУ.СДТУ Н;;Открытая;ПС 330 кВ Восточная;СДТУ направления Ленинградское РДУ –  ПС 330 кВ Восточная;;с отключением;П 2023-АСУ-ТО-2;;16:00 24.11.23;16:00 01.12.23;16:00 24.11.23;П;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12670;21932;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 330 кВ Звёздная;Комплект 1 основной защиты ВЛ 330 кВ Ленинградская – Звёздная I цепь (ДЗЛ, СЗ) (7SD52);;с отключением;ТП  ОДУ Северо-Запада №45.1.1.РЗ от 16.11.2022/45.1.2.РЗ от 16.11.2022;;16:00 24.11.23;16:00 28.11.23;16:00 24.11.23;ВПр;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12671;21933;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 750 кВ Ленинградская;Комплект 1 основной защиты ВЛ 330 кВ Ленинградская – Звёздная I цепь (ДЗЛ, СЗ) (7SD52);;с отключением;Пусто типовая программа переключений ОДУ Северо-Запада №45.1.1.РЗ от 16.11.2022/45.1.2.РЗ от 16.11.2022;;16:00 24.11.23;24:00 28.11.23;16:00 24.11.23;ВП;ПЛ;;02:00;;без отключения ЛЭП (оборудования)
12675;21105;Ленинградское РДУ;СДТУ.СДТУ Н;;Рассмотренная;ПС 750 кВ Ленинградская;СДТУ направления Ленинградское РДУ – ПС 750 кВ Ленинградская;;с отключением;П 2023-АСУ-2;;16:00 24.11.23;24:00 28.11.23;16:00 24.11.23;ВП;ПЛ;;01:00;;без отключения ЛЭП (оборудования)
12368;20431;Ленинградское РДУ;ЭЛТ.В.В 110 кВ;;Открытая;ПС 330 кВ Ржевская;1В-110 АТ-1;;с отключением;Б;;11:00 24.11.23;24:00 29.11.23;00:00 23.11.23;ВПр;НПЛ;;04:00;; 
12547;4373;Балтийское РДУ;ЭНРГ.Б;;Открытая;Калининградская ТЭЦ-2;Блок 2;Г-22 (ГТУ-22) Блок 2;с отключением;Пусто;;10:01 24.11.23;23:59 30.11.23;10:01 24.11.23;ХР;НПЛ;;ВЗ;; 
12229;21218;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 330 кВ Ржевская;Комплект автоматики В Л-388/АТ-1 (АУВ, УРОВ, АПВ) (6MD66);;с отключением;Б;;00:00 24.11.23;24:00 29.11.23;00:00 23.11.23;ВП;НПЛ;;04:00;; 
12230;21219;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 330 кВ Ржевская;Комплект автоматики В Л-488/АТ-1 (АУВ, УРОВ, АПВ) (6MD66);;с отключением;Б;;00:00 24.11.23;24:00 29.11.23;00:00 23.11.23;ВП;НПЛ;;04:00;; 
12231;21206;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 330 кВ Ржевская;ДЗО стороны ВН комплект 1 АТ-1;;с отключением;Б;;00:00 24.11.23;24:00 29.11.23;00:00 23.11.23;ВП;НПЛ;;04:00;; 
12233;21208;МЭС Северо-Запада;РЗА.РЗ;;Открытая;ПС 330 кВ Ржевская;КСЗ стороны ВН АТ-1 (ДЗ, ТЗНП) (7SA52);;с отключением;Б;;00:00 24.11.23;24:00 29.11.23;00:00 23.11.23;ВП;НПЛ;;04:00;; 
12314;20416;Ленинградское РДУ;ЭЛТ.СШ.СШ 330 кВ;;Открытая;ПС 330 кВ Ржевская;1Ш 330кВ;;с отключением;П по выводу в ремонт № 122/144 от 15.11.2023, по вводу в работу № 123/145 от 15.11.2023;;00:00 24.11.23;24:00 29.11.23;00:00 23.11.23;ВПр;НПЛ;;04:00;; 
12315;20417;Ленинградское РДУ;ЭЛТ.В.В 330 кВ;;Открытая;ПС 330 кВ Ржевская;В Л-388/АТ-1;;с отключением;П по выводу в ремонт № 122/144 от 15.11.2023, по вводу в работу № 123/145 от 15.11.2023;;00:00 24.11.23;24:00 29.11.23;00:00 23.11.23;ВПр;НПЛ;;04:00;; 
12316;20418;Ленинградское РДУ;ЭЛТ.В.В 330 кВ;;Открытая;ПС 330 кВ Ржевская;В Л-488/АТ-1;;с отключением;П по выводу в ремонт № 122/144 от 15.11.2023, по вводу в работу № 123/145 от 15.11.2023;;00:00 24.11.23;24:00 29.11.23;00:00 23.11.23;ВПр;НПЛ;;04:00;; 
12365;20419;Ленинградское РДУ;ЭЛТ.АТ,Т.АТ,Т 330 кВ;;Открытая;ПС 330 кВ Ржевская;АТ-1;;с отключением;П Вывод 122/144, ввод 123/145 от 15.11.2023;да;00:00 24.11.23;24:00 29.11.23;00:00 23.11.23;ВПр;НПЛ;;04:00;; 
12366;20420;Ленинградское РДУ;ЭЛТ.В.В 110 кВ;;Открытая;ПС 330 кВ Ржевская;1В-110 АТ-1;;с отключением;Б;;00:00 24.11.23;24:00 29.11.23;00:00 23.11.23;ВПр;НПЛ;;04:00;; 
12367;20421;Ленинградское РДУ;ЭЛТ.В.В 110 кВ;;Открытая;ПС 330 кВ Ржевская;2В-110 АТ-1;;с отключением;Б;;00:00 24.11.23;24:00 29.11.23;00:00 23.11.23;ВПр;НПЛ;;04:00;; 
12500;4786;Коми РДУ;ЭЛТ.В.В 220 кВ;;Открытая;Печорская ГРЭС;В Т-1;;с отключением;Б;;00:00 24.11.23;24:00 30.11.23;00:00 24.11.23;ВПр;НПЛ;;04:00;; 
